time,elgeseter_pm25_nilu,torget_pm25_nilu,elgeseter_pm10_nilu,torget_pm10_nilu,elgeseter_pm1_iot,torget_pm1_iot,elgeseter_pm25_iot,torget_pm25_iot,elgeseter_pm10_iot,torget_pm10_iot,elgeseter_opctemp_iot,torget_opctemp_iot,elgeseter_opchum_iot,torget_opchum_iot,air_temperature,relative_humidity,precipitation,air_pressure,wind_speed,wind_direction,16219V72812_Total,44656V72812_Total,10236V72161_Total
2020-11-15 01:00:00,2.030318,1.6,5.840994,3.1,0.08323084451258182,0.1335354188368434,0.2585031360387802,0.32341333301294417,0.5292912967503071,0.8176804404883158,16.2,16.80952380952381,34.25,33.23809523809524,7.9,58.0,0.0,987.0,3.8,182.0,188.0,174.0,230.0
2020-11-15 02:00:00,2.274624,1.3,5.01008,1.9,0.0860347788603533,0.09954241197556257,0.24628304370812007,0.25474573969841,0.39146030020146144,0.5255228348076344,15.619047619047619,15.55,35.42857142857143,35.25,7.2,63.0,0.0,985.8,3.0,208.0,114.0,108.0,139.0
2020-11-15 03:00:00,0.7330479999999999,1.3,2.406921,1.6,0.05385780213400722,0.060530761522906165,0.16493341960012914,0.1641604591693197,0.38387646302580836,0.32414521489824566,15.0,15.0,36.8,36.333333333333336,6.5,66.0,0.0,984.9,2.9,192.0,79.0,71.0,101.0
2020-11-15 04:00:00,2.032149,1.1,2.958961,1.1,0.050868265242094084,0.06006174013018608,0.12776298359746024,0.1541692942380905,0.39483999957640964,0.27437781877815726,14.666666666666666,15.0,37.333333333333336,36.95,6.7,65.0,0.0,984.0,1.8,208.0,44.0,48.0,73.0
2020-11-15 05:00:00,1.9652889999999998,0.6000000000000001,2.358599,0.7000000000000001,0.021952081471681595,0.031238864663810956,0.0583692625630647,0.08503419852682523,0.13662782846949995,0.43969422578811646,15.85,15.857142857142858,37.25,36.666666666666664,8.4,60.0,0.0,983.1,4.8,195.0,44.0,46.0,31.0
2020-11-15 06:00:00,4.139391,0.4,4.322715,0.30000000000000004,0.017409065472228185,0.023007179889827967,0.05374955514534598,0.0728312429971993,0.4297758710260193,0.212835580855608,17.523809523809526,17.6,36.0,35.85,9.2,59.0,0.0,982.7,4.1,196.0,82.0,149.0,44.0
2020-11-15 07:00:00,-0.879138,0.4,-0.191496,0.4,0.012789837014861406,0.036912762826042514,0.035419852612540124,0.07648043165959063,0.1842391848564148,0.22740518993565015,18.0,18.095238095238095,35.65,35.0,9.6,61.0,0.0,982.4,4.8,202.0,123.0,294.0,39.0
2020-11-15 08:00:00,1.016846,0.30000000000000004,1.905235,0.4,0.022001444140360468,0.05213238783180714,0.08545259936224847,0.10045255664736033,0.472951500720921,0.36062508057802917,18.0,18.85,35.476190476190474,34.6,9.6,60.0,0.0,982.2,3.7,199.0,187.0,197.0,45.0
2020-11-15 09:00:00,1.3748179999999999,0.30000000000000004,2.456813,0.30000000000000004,0.04016078920103609,0.0727886933655966,0.1067870307713747,0.17518181140933717,0.524525491707027,0.5067980424279258,18.05,18.19047619047619,36.65,36.80952380952381,9.7,63.0,0.0,981.8,5.3,196.0,263.0,245.0,98.0
2020-11-15 10:00:00,-0.579202,0.5,0.817035,0.6000000000000001,0.04548881327112516,0.10343100652098655,0.18623284516589983,0.23927532210946084,0.5346135809308007,0.8154469031840563,18.38095238095238,18.45,38.285714285714285,37.85,10.0,60.0,0.0,982.2,3.2,205.0,494.0,436.0,187.0
2020-11-15 11:00:00,1.879184,0.7000000000000001,2.69632,1.0,0.03912122240290046,0.09115653662454515,0.14817260913550853,0.1513567300779479,0.6886748089455068,0.3458893182022231,17.9,18.333333333333332,40.7,37.523809523809526,9.5,64.0,0.4,982.3,2.9,187.0,631.0,598.0,256.0
2020-11-15 12:00:00,3.350629,0.9,4.523162,1.2,0.025276448045458113,0.12794764153659344,0.07943233253345602,0.19492667466402053,0.4374787818108286,0.3048259664326906,18.428571428571427,19.5,38.904761904761905,35.25,10.8,58.0,0.0,981.3,8.0,181.0,794.0,756.0,361.0
2020-11-15 13:00:00,-2.204396,1.1,-1.087928,1.6,0.1060946997255087,0.160691180399486,0.16247766930609941,0.24164403336388723,0.5262187318876386,0.5156527587345668,18.45,19.0,38.05,35.714285714285715,10.8,60.0,0.0,982.2,5.4,177.0,905.0,850.0,390.0
2020-11-15 14:00:00,-4.055765,1.2,-3.042395,1.4,0.09630711039616949,0.14287184104323386,0.1598835921003705,0.2223470326513052,0.4705048157345681,0.41657764092087746,18.0,18.25,38.285714285714285,37.35,10.3,63.0,0.0,982.2,5.6,187.0,1034.0,1090.0,493.0
2020-11-15 15:00:00,0.6465679999999999,1.2,2.224616,1.4,0.22289552316069602,0.2485736363700458,0.34999938383698465,0.3757242893888837,0.6194930806756019,0.5709503576869056,17.45,17.38095238095238,39.55,39.0,9.8,66.0,0.0,982.5,3.0,189.0,1125.0,1117.0,456.0
2020-11-15 16:00:00,3.588486,1.6,5.853822,1.9,0.38630939381463186,0.36526394337415696,0.6066368690558842,0.47644308134913443,1.4621626564434596,0.6246391929686069,17.0,17.35,40.714285714285715,39.6,9.8,67.0,0.0,982.6,1.8,186.0,970.0,905.0,425.0
2020-11-15 17:00:00,0.37946199999999997,1.7000000000000002,3.219135,1.8,0.9572112083435058,0.7241833479631514,1.6661378532648086,0.9674826761086782,4.033551716804505,1.232643070675078,16.35,17.0,42.0,40.95238095238095,9.8,69.0,0.0,982.2,1.9,108.0,922.0,937.0,421.0
2020-11-15 18:00:00,4.123802,2.2,10.018865,2.3,1.15449534427552,0.40265143662691116,1.833193234034947,0.6094200290739537,4.175898654120309,1.0845873162150383,15.380952380952381,16.55,42.904761904761905,41.9,10.5,66.0,0.0,981.6,4.1,174.0,816.0,776.0,365.0
2020-11-15 19:00:00,13.120269,4.4,21.038339,4.5,0.4806450750678778,0.24741739495879128,0.793873880058527,0.3716256526254472,1.6849491022527219,0.6005419251464662,15.75,17.333333333333332,44.35,41.904761904761905,10.4,68.0,0.0,981.0,2.3,160.0,697.0,625.0,329.0
2020-11-15 20:00:00,14.355429,8.8,29.072394,9.5,0.17258407140061968,0.18230481303873516,0.34239548941453296,0.3502016890616644,0.5710514244579133,0.564143663360959,18.095238095238095,18.952380952380953,42.04761904761905,39.38095238095238,11.3,64.0,0.0,980.5,2.1,145.0,594.0,544.0,283.0
2020-11-15 21:00:00,7.25021,4.5,13.722722,5.6,0.34617108181118966,0.28547863066196444,0.620474973320961,0.5243399798870086,0.9875681266188622,0.7871534988284111,18.85,19.75,41.05,38.3,11.4,65.0,0.0,979.9,1.1,315.0,472.0,516.0,216.0
2020-11-15 22:00:00,2.648222,2.7,3.495771,2.8,0.35460105715763,0.15484372526407242,0.5472704129559653,0.28846374225048793,0.9070461016325724,0.48882242256686803,18.666666666666668,20.095238095238095,41.0,38.0,11.6,66.0,0.0,979.6,1.4,201.0,361.0,386.0,157.0
2020-11-15 23:00:00,6.475177,1.9,7.551995,1.9,0.0343824022449553,0.031918215192854406,0.08191299363970757,0.057874403242021796,0.24629945624619723,0.21181920142844318,20.25,21.05,39.8,37.3,12.9,61.0,0.0,979.2,3.7,183.0,169.0,153.0,118.0
2020-11-16 00:00:00,7.009985,2.9,8.579868,2.8,0.029159857167137995,0.030467354589038424,0.0606997592581643,0.05590015173786216,0.2031081612739298,0.12870936106062597,21.0,22.0,38.333333333333336,37.0,13.1,63.0,0.0,978.4,4.5,184.0,104.0,98.0,67.0
2020-11-16 01:00:00,5.400177,1.3,6.590527,1.3,0.03502903115004301,0.0391837471164763,0.061805535946041344,0.07417712770402432,0.18273763433098794,0.158049526065588,21.0,21.85,38.25,37.0,12.9,64.0,0.0,978.0,6.0,174.0,44.0,36.0,37.0
2020-11-16 02:00:00,0.6893579999999999,0.5,1.266936,0.5,0.03131277114152908,0.03275871738081887,0.06114588784320014,0.06412376046535515,0.21878427444469362,0.26028392934018657,21.0,22.0,38.0,37.0,12.5,65.0,0.0,977.6,2.1,142.0,36.0,46.0,28.0
2020-11-16 03:00:00,0.842128,0.5,1.050163,0.4,0.04144778680056334,0.03916553575545549,0.07404199671000242,0.06603482896462083,0.20207660645246506,0.1641280529089272,21.0,21.9,38.1,37.05,12.9,64.0,0.0,977.1,6.6,168.0,37.0,48.0,10.0
2020-11-16 04:00:00,1.156446,0.6000000000000001,1.543793,0.4,0.059423106766882394,0.06108010802417994,0.12272947175162179,0.11322556659579278,0.3536055925346556,0.23212078381329776,21.0,22.0,38.0,37.0,13.0,64.0,0.0,976.7,5.6,178.0,30.0,35.0,13.0
2020-11-16 05:00:00,-2.510148,0.6000000000000001,-2.243183,0.4,0.09427171852439642,0.09096855262205714,0.2453745562583208,0.20108750072263537,1.3554591991007328,0.572231092623302,21.0,21.19047619047619,38.35,37.333333333333336,12.7,65.0,0.0,976.2,6.3,169.0,135.0,148.0,37.0
2020-11-16 06:00:00,1.96387,0.8,2.984092,0.6000000000000001,0.06631843763447944,0.06879847273230552,0.24127308563107536,0.18803992308676243,2.2998502339635576,0.5882389586418867,21.0,21.0,38.19047619047619,37.05,12.4,66.0,0.0,975.9,3.9,161.0,611.0,809.0,137.0
2020-11-16 07:00:00,0.407449,1.1,6.279438,1.3,0.09879761729389429,0.13309797830879688,0.34115711636841295,0.35827349275350573,2.8176857456564903,1.1828537479043006,21.0,21.55,38.0,36.75,12.2,65.0,0.0,975.9,2.5,157.0,1400.0,1659.0,356.0
2020-11-16 08:00:00,3.7530989999999997,1.9,15.424374,3.5,0.11014463575113387,0.1350751913019589,0.5617009557428814,0.29446500894569216,4.87776728613036,1.0166037579377492,21.0,22.0,37.714285714285715,36.0,12.1,66.0,0.0,976.1,2.0,132.0,1553.0,1547.0,471.0
2020-11-16 09:00:00,1.226955,1.5,10.206852,3.7,0.11308444514870644,0.11821550689637661,0.3644653782248497,0.2601737558841705,1.9049586690962315,1.0325604259967804,21.15,22.0,36.65,35.15,12.3,64.0,0.0,976.3,1.9,166.0,1221.0,1429.0,339.0
2020-11-16 10:00:00,4.195167,2.4,18.095846,6.2,0.08537663998348373,0.13126994154992558,0.6502358984379542,0.3248639851808548,5.724552495138986,1.3156621534199942,22.0,22.19047619047619,35.095238095238095,34.095238095238095,12.4,62.0,0.0,975.8,1.6,161.0,1254.0,1422.0,415.0
2020-11-16 11:00:00,5.890125,2.5,25.952816,5.6,0.1770246284082532,0.14069856386631727,1.8414695784449577,0.39805360957980157,15.61360884308815,1.5776417553424835,22.0,23.0,33.6,31.3,13.1,58.0,0.0,975.8,2.8,162.0,1260.0,1493.0,443.0
2020-11-16 12:00:00,-1.52241,2.0,17.419731,6.0,0.12169264398870014,0.15275661753756659,0.8189212055433364,0.47578867134593783,6.4566749674933295,2.3895843710218156,21.714285714285715,22.61904761904762,31.428571428571427,29.285714285714285,13.1,53.0,0.0,975.0,5.1,186.0,1399.0,1532.0,421.0
2020-11-16 13:00:00,7.279529,2.3,96.104213,8.6,0.09161091819405556,0.17624807059764863,0.7253257870674134,0.5239257216453552,5.253724199533463,2.73478065431118,20.7,21.25,31.2,29.7,12.2,52.0,0.0,976.0,5.0,184.0,1362.0,1594.0,491.0
2020-11-16 14:00:00,-1.7980239999999998,2.5,20.333413,11.3,0.17719459817523048,0.24495909824257805,1.3581591475577581,0.7532069881757101,8.703685567492531,3.3451396567480907,19.857142857142858,20.0,32.0,31.0,11.1,54.0,0.0,976.7,4.7,180.0,1533.0,1800.0,492.0
2020-11-16 15:00:00,-0.07948000000000001,3.0,19.530091,16.3,0.15622804909944535,0.2784622497856617,0.9734578490257263,0.7122504517436028,5.602733689546585,2.062031951546669,18.95,19.0,32.0,31.4,10.2,55.0,0.0,976.7,3.9,183.0,1740.0,2051.0,591.0
2020-11-16 16:00:00,5.807302,3.1,40.760831,15.5,0.17476779932067507,0.2936452449787231,0.9172632878734952,0.7702309900806064,4.430053625788007,2.1858770222890946,18.904761904761905,19.0,32.666666666666664,32.0,10.1,55.0,0.0,976.5,5.8,179.0,1531.0,1579.0,577.0
2020-11-16 17:00:00,2.220048,3.6,18.888381,16.2,0.15228534415364264,0.25044183507561685,0.8100835353136062,0.572527626156807,3.7031518816947937,1.7008791714906693,18.0,18.3,33.6,32.9,9.8,57.0,0.0,976.0,7.1,173.0,1119.0,1175.0,454.0
2020-11-16 18:00:00,4.41204,3.5,17.752222,14.4,0.10509959466400601,0.23457515700941994,0.44632256740615484,0.4972583069687798,1.9581513631911505,1.3528288716361636,18.0,18.0,33.666666666666664,32.80952380952381,9.5,59.0,0.0,975.7,5.7,176.0,999.0,949.0,437.0
2020-11-16 19:00:00,-3.111924,3.0,12.700913,10.6,0.11909715831279755,0.2204222522675991,0.4594330430030823,0.484417262673378,1.8970902413129807,1.3818997725844384,18.0,18.0,32.95,32.15,9.4,56.0,0.0,975.3,5.7,183.0,804.0,842.0,364.0
2020-11-16 20:00:00,3.106426,2.6,10.385351,7.9,0.06560844537757692,0.18874561006114596,0.32025091421036495,0.38149712908835637,1.4669690188907443,1.0153636790457226,18.0,18.285714285714285,33.0,32.61904761904762,9.6,57.0,0.0,974.6,4.2,185.0,625.0,616.0,289.0
2020-11-16 21:00:00,1.6588569999999998,2.3,7.941483,6.8,0.041510474681854245,0.16934807933866977,0.18644331097602845,0.32594276443123815,0.7908153213560581,1.316759704053402,18.85,18.95,32.05,31.55,9.7,56.0,0.0,975.1,5.9,172.0,454.0,578.0,206.0
2020-11-16 22:00:00,-0.009441999999999999,2.2,7.016227,5.7,0.02622187119864282,0.03333268926611969,0.12278280974853606,0.10420162816132818,0.6003999186768418,0.3532745252762522,19.0,19.0,31.38095238095238,30.476190476190474,10.2,53.0,0.0,976.2,6.3,174.0,417.0,460.0,148.0
2020-11-16 23:00:00,1.551215,1.7000000000000002,6.686933,4.0,0.03724456033669412,0.020961989043280484,0.14015744552016257,0.09374985005706549,0.536776393931359,0.6669946581125259,18.75,18.4,31.65,30.7,10.1,53.0,0.0,977.2,3.5,175.0,192.0,186.0,111.0
2020-11-17 00:00:00,2.486373,1.4,4.685958,3.4,0.034937832105372636,0.04570434127180349,0.13377863009061133,0.18764733984356835,0.6308939934131645,0.7794649629365831,18.0,18.0,32.0,31.61904761904762,9.8,54.0,0.0,978.0,3.2,202.0,96.0,79.0,87.0
2020-11-17 01:00:00,-0.655859,0.6000000000000001,1.814666,1.7000000000000002,0.031065725395455955,0.02096711127087474,0.12102826982736588,0.07359740072861314,0.5089891605079174,0.2821028455160558,18.0,18.45,32.0,31.3,10.1,52.0,0.0,978.8,3.7,195.0,37.0,47.0,40.0
2020-11-17 02:00:00,1.043234,0.5,3.455976,1.3,0.028089182495716073,0.012528881962810243,0.16468472973931403,0.04411721908088241,0.7225594481541997,0.3182564909969057,18.428571428571427,19.0,31.142857142857142,30.0,10.3,49.0,0.0,979.5,3.3,198.0,24.0,23.0,17.0
2020-11-17 03:00:00,5.568583,0.7000000000000001,7.559878,1.8,0.02427249513566494,0.01654680063948035,0.1525404889136553,0.09225806966423988,0.5494536416605115,0.3404332347214222,18.35,18.95,31.05,29.8,10.2,50.0,0.0,979.9,4.0,189.0,28.0,38.0,15.0
2020-11-17 04:00:00,3.468359,0.5,5.055119,0.8,0.03424587295878501,0.021886934570613362,0.2323107591697148,0.140321389905044,1.318404835604486,0.875964487769774,18.0,18.476190476190474,31.428571428571427,30.333333333333332,9.5,54.0,0.0,980.7,2.7,177.0,36.0,40.0,20.0
2020-11-17 05:00:00,2.095473,0.30000000000000004,4.409103,0.6000000000000001,0.09541700817644597,0.06756123844534159,0.7898711070418358,0.3804204102605581,4.277479213476181,2.1937183581292627,17.2,16.8,32.45,32.5,9.1,53.0,0.0,981.1,3.8,165.0,141.0,161.0,46.0
2020-11-17 06:00:00,0.438218,0.4,4.622486,1.1,0.3762599385920025,0.170649277312415,3.381547047978356,1.131414762565068,18.41511767251151,5.958811816715059,16.142857142857142,15.857142857142858,33.476190476190474,33.95238095238095,8.2,55.0,0.0,981.6,2.1,199.0,647.0,856.0,123.0
